recipe_name,ingredient_name,ingredient_base,quantity_per_serving,unit,category
Albndigas de ternera,caldo de verduras,caldo de verduras,100,ml,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,"arroz basmati, enjuagado",arroz,250,g,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,Sal y pimienta,Sal y pimienta,1,unidad,Especias
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,garbanzos en conserva,garbanzos,100,g,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,tofu cortado en cubitos,tofu ,300,g,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,salsa de curry lista para servir,salsa de curry,200,g,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,caldo de verduras (o agua),caldo de verduras ,340,ml,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,leche de coco,leche de coco,150,ml,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,carne en medallones,carne ,300,g,Ingredientes
pastel de Carne,ternera picada,ternera picada,500,g,Ingredientes
pastel de Carne,sal y pimienta,sal y pimienta,1,unidad,Especias
pastel de Carne,"pimiento rojo, cortado en dados",pimiento rojo,1,unidad,Ingredientes
pastel de Carne,"cebolla grande, cortada en dados",cebolla ,1,unidad,Ingredientes
pastel de Carne,aceitunas,aceitunas,50,g,Ingredientes
pastel de Carne,papatas,patatas,500,g,Ingredientes
pastel de Carne,matequilla,matequilla,15,gr,Ingredientes
pastel de Carne,nata,nata,50,ml,Ingredientes
pollo a la pimienta,pollo (pechuga o muslo),pollo,500,g,Ingredientes
pollo a la pimienta,sal y pimienta,sal y pimienta,1,unidad,Especias
pollo a la pimienta,champiniones,champiniones,400,g,Ingredientes
pollo a la pimienta,nata,nata,200,ml,Ingredientes
pollo a la pimienta,arroz basmati integral,arroz,250,g,Ingredientes
carne a la pimienta,ternera para estofar o guisar cortada en dados,ternera,500,g,Ingredientes
carne a la pimienta,sal y pimienta,sal y pimienta,1,unidad,Especias
carne a la pimienta,champiniones,champiniones,400,g,Ingredientes
carne a la pimienta,nata,nata,200,ml,Ingredientes
carne a la pimienta,arroz basmati integral,arroz,250,g,Ingredientes
Risotto de pollo y chorizo,chorizo cortado en dados,chorizo,100,g,Ingredientes
Risotto de pollo y chorizo,pimenton dulce,pimenton,1,cucharadita,Especias
Risotto de pollo y chorizo,"muslos de pollo deshuesados y sin piel, cortados en dados",pollo,250,g,Ingredientes
Risotto de pollo y chorizo,aceite,aceite de oliva,1,cucharada,Especias
Risotto de pollo y chorizo,cebolla roja picada,cebolla,150,g,Ingredientes
Risotto de pollo y chorizo,sal y pimienta,sal y pimienta,1,unidad,Especias
Risotto de pollo y chorizo,arroz arborio,arroz arborio,300,g,Ingredientes
Risotto de pollo y chorizo,tomates secos cortados en trozos grandes,tomates secos,60,g,Ingredientes
Risotto de pollo y chorizo,caldo de pollo,caldo de pollo,600,ml,Ingredientes
Risotto de pollo y chorizo,pimiento rojo cortado en dados (2-3 cm),pimiento rojo,50,g,Ingredientes
Risotto de setas y espinacas,"puerros, cortados en rodajas finas",puerro,50,g,Ingredientes
Risotto de setas y espinacas,sal y pimienta,sal y pimienta,1,unidad,Especias
Risotto de setas y espinacas,arroz arborio,arroz arborio,300,g,Ingredientes
Risotto de setas y espinacas,aceite de oliva,aceite de oliva,1,cucharadas,Especias
Risotto de setas y espinacas,championes cortados en rodajas,champiniones,250,g,Ingredientes
Risotto de setas y espinacas,caldo de verduras,caldo de verduras,750,ml,Ingredientes
Risotto de setas y espinacas,hojas de espinacas baby picadas en trocitos pequeos,espinaca,75,g,Ingredientes
Risotto de setas y espinacas,carne en medallones,ternera,300,g,Ingredientes
Noquis,patatas,patatas,400,g,Ingredientes
Noquis,sal y pimienta,sal y pimienta,1,unidad,Especias
Noquis,harina,harina,400,g,Ingredientes
Noquis,espinaca,espinaca,250,g,Ingredientes
tarta de zapallito,Shortcrust Pastry 230g,base de tarta,1,unidad,Ingredientes
tarta de zapallito,aceite oliva,aceite de oliva,1,cucharada,Especias
tarta de zapallito,calabacin,calabacin,150,g,Ingredientes
tarta de zapallito,sal y pimienta,sal y pimienta,1,unidad,Especias
tarta de zapallito,"cebolla, picada",cebolla,1,unidad,Ingredientes
tarta de zapallito,pimenton dulce,pimenton,1,cucharadita,Especias
tarta de zapallito,"pimiento rojo, cortado en dados",pimiento rojo,1,unidad,Ingredientes
tarta de zapallito,puerro,puerro,1,unidad,Ingredientes
tarta de zapallito,ricotta,ricotta,250,g,Ingredientes
tarta de zapallito,parmesano rallado,parmesano,50,g,Ingredientes
tarta de zapallito,queso rallado semicurado,queso rallado,50,g,Ingredientes
tarta de zapallito,huevo,huevo,1,unidad,Ingredientes
